nohup: ignoring input
[streamer] Starting dummy market data stream into public.market_data_1m for SPY
[streamer] Using DATABASE_URL='postgresql://postgres:pIPWNq6LAz2hOBaQ@db.nugswladoficdyvygstg.supabase.co:5432/postgres?sslmode=require'
[streamer] Inserted: ts=2025-12-05 02:48:42.193192+00:00 symbol=SPY open=499.91 high=500.01 low=499.64 close=500.19 volume=72156
[streamer] Inserted: ts=2025-12-05 02:48:43.231731+00:00 symbol=SPY open=500.11 high=500.59 low=500.14 close=499.96 volume=54479
[streamer] Inserted: ts=2025-12-05 02:48:44.269292+00:00 symbol=SPY open=499.68 high=500.74 low=499.15 close=499.51 volume=43663
[streamer] Inserted: ts=2025-12-05 02:48:45.306664+00:00 symbol=SPY open=500.78 high=501.28 low=500.05 close=500.22 volume=11933
[streamer] Inserted: ts=2025-12-05 02:48:46.344210+00:00 symbol=SPY open=499.95 high=500.31 low=499.22 close=500.01 volume=51620
[streamer] Inserted: ts=2025-12-05 02:48:47.381609+00:00 symbol=SPY open=498.95 high=500.24 low=499.25 close=499.77 volume=95642
[streamer] Inserted: ts=2025-12-05 02:48:48.419199+00:00 symbol=SPY open=498.78 high=499.73 low=498.77 close=498.93 volume=68339
[streamer] Inserted: ts=2025-12-05 02:48:49.469048+00:00 symbol=SPY open=498.76 high=498.99 low=498.32 close=498.96 volume=31687
[streamer] Inserted: ts=2025-12-05 02:48:50.506584+00:00 symbol=SPY open=498.95 high=499.24 low=498.36 close=498.94 volume=61146
[streamer] Inserted: ts=2025-12-05 02:48:51.543934+00:00 symbol=SPY open=499.10 high=499.36 low=498.45 close=498.89 volume=23314
[streamer] Inserted: ts=2025-12-05 02:48:52.581457+00:00 symbol=SPY open=498.69 high=499.57 low=498.63 close=498.85 volume=27764
[streamer] Inserted: ts=2025-12-05 02:48:53.618879+00:00 symbol=SPY open=498.59 high=499.23 low=497.59 close=498.13 volume=42459
[streamer] Inserted: ts=2025-12-05 02:48:54.656204+00:00 symbol=SPY open=498.71 high=498.48 low=497.87 close=498.19 volume=19841
[streamer] Inserted: ts=2025-12-05 02:48:55.694404+00:00 symbol=SPY open=497.98 high=498.73 low=497.82 close=498.50 volume=47197
[streamer] Inserted: ts=2025-12-05 02:48:56.731991+00:00 symbol=SPY open=498.57 high=499.03 low=497.46 close=498.30 volume=65753
[streamer] Inserted: ts=2025-12-05 02:48:57.769645+00:00 symbol=SPY open=498.65 high=499.52 low=498.09 close=498.53 volume=74048
[streamer] Inserted: ts=2025-12-05 02:48:58.806950+00:00 symbol=SPY open=498.72 high=498.95 low=498.01 close=498.58 volume=47233
[streamer] Inserted: ts=2025-12-05 02:48:59.844749+00:00 symbol=SPY open=497.87 high=498.47 low=497.64 close=498.03 volume=92553
[streamer] Inserted: ts=2025-12-05 02:49:00.882358+00:00 symbol=SPY open=498.16 high=499.12 low=497.46 close=498.07 volume=20971
[streamer] Inserted: ts=2025-12-05 02:49:01.931708+00:00 symbol=SPY open=498.43 high=499.48 low=497.73 close=498.23 volume=24697
[streamer] Inserted: ts=2025-12-05 02:49:02.969154+00:00 symbol=SPY open=498.61 high=499.58 low=497.69 close=498.81 volume=83323
[streamer] Inserted: ts=2025-12-05 02:49:04.006518+00:00 symbol=SPY open=499.01 high=499.45 low=497.98 close=498.92 volume=46540
[streamer] Inserted: ts=2025-12-05 02:49:05.043702+00:00 symbol=SPY open=498.77 high=499.02 low=498.21 close=498.12 volume=93075
[streamer] Inserted: ts=2025-12-05 02:49:06.081153+00:00 symbol=SPY open=498.48 high=498.34 low=497.76 close=498.11 volume=46004
[streamer] Inserted: ts=2025-12-05 02:49:07.118753+00:00 symbol=SPY open=498.79 high=498.81 low=497.32 close=497.85 volume=21274
[streamer] Inserted: ts=2025-12-05 02:49:08.156247+00:00 symbol=SPY open=498.68 high=498.99 low=497.66 close=498.58 volume=24092
[streamer] Inserted: ts=2025-12-05 02:49:09.193687+00:00 symbol=SPY open=498.41 high=499.22 low=497.44 close=498.73 volume=59761
[streamer] Inserted: ts=2025-12-05 02:49:10.231272+00:00 symbol=SPY open=498.21 high=497.98 low=496.94 close=498.14 volume=69085
[streamer] Inserted: ts=2025-12-05 02:49:11.268526+00:00 symbol=SPY open=498.12 high=498.86 low=497.19 close=498.06 volume=56815
[streamer] Inserted: ts=2025-12-05 02:49:12.305729+00:00 symbol=SPY open=498.41 high=498.72 low=497.81 close=497.78 volume=84479
[streamer] Inserted: ts=2025-12-05 02:49:13.343415+00:00 symbol=SPY open=497.87 high=499.10 low=497.73 close=497.95 volume=17801
[streamer] Inserted: ts=2025-12-05 02:49:14.380661+00:00 symbol=SPY open=498.09 high=499.06 low=497.77 close=498.35 volume=58195
[streamer] Inserted: ts=2025-12-05 02:49:15.418363+00:00 symbol=SPY open=497.47 high=498.87 low=497.38 close=498.06 volume=40983
[streamer] Inserted: ts=2025-12-05 02:49:16.455720+00:00 symbol=SPY open=497.93 high=498.34 low=497.47 close=497.54 volume=59053
